[09:21:22.228] [DEBUG] FPS: 60 | Frame time: 16.5499ms
[09:21:23.228] [DEBUG] FPS: 59 | Frame time: 16.7056ms
[09:21:24.228] [DEBUG] FPS: 59 | Frame time: 16.7806ms
[09:21:25.245] [DEBUG] FPS: 59 | Frame time: 16.8073ms
[09:21:26.245] [DEBUG] FPS: 59 | Frame time: 16.9147ms
[09:21:27.262] [DEBUG] FPS: 60 | Frame time: 16.7911ms
[09:21:28.262] [DEBUG] FPS: 59 | Frame time: 16.8885ms
[09:21:29.278] [DEBUG] FPS: 60 | Frame time: 16.6846ms
[09:21:30.278] [DEBUG] FPS: 59 | Frame time: 16.5215ms
[09:21:31.295] [DEBUG] FPS: 60 | Frame time: 16.6854ms
[09:21:32.296] [DEBUG] FPS: 59 | Frame time: 16.6304ms
[09:21:33.312] [DEBUG] FPS: 60 | Frame time: 16.7048ms
[09:21:34.329] [DEBUG] FPS: 59 | Frame time: 17.0943ms
[09:21:35.346] [DEBUG] FPS: 59 | Frame time: 17.4067ms
[09:21:36.362] [DEBUG] FPS: 60 | Frame time: 16.7757ms
[09:21:37.379] [DEBUG] FPS: 60 | Frame time: 16.7507ms
[09:21:38.395] [DEBUG] FPS: 60 | Frame time: 16.4465ms
[09:21:39.427] [DEBUG] FPS: 55 | Frame time: 96.4844ms
[09:21:40.429] [DEBUG] FPS: 58 | Frame time: 16.551ms
[09:21:41.429] [DEBUG] FPS: 59 | Frame time: 16.661ms
[09:21:42.429] [DEBUG] FPS: 59 | Frame time: 16.8135ms
[09:21:43.445] [DEBUG] FPS: 60 | Frame time: 16.818ms
[09:21:44.462] [DEBUG] FPS: 60 | Frame time: 16.6625ms
[09:21:45.462] [DEBUG] FPS: 59 | Frame time: 15.8821ms
[09:21:46.479] [DEBUG] FPS: 59 | Frame time: 16.9885ms
[09:21:47.479] [DEBUG] FPS: 59 | Frame time: 16.7271ms
[09:21:48.495] [DEBUG] FPS: 60 | Frame time: 16.7939ms
[09:21:49.495] [DEBUG] FPS: 59 | Frame time: 16.5252ms
[09:21:50.496] [DEBUG] FPS: 59 | Frame time: 17.1632ms
[09:21:51.512] [DEBUG] FPS: 60 | Frame time: 16.59ms
[09:21:52.512] [DEBUG] FPS: 59 | Frame time: 16.7413ms
[09:21:53.529] [DEBUG] FPS: 60 | Frame time: 16.6855ms
[09:21:54.529] [DEBUG] FPS: 59 | Frame time: 16.7836ms
[09:21:55.534] [DEBUG] FPS: 45 | Frame time: 24.048ms
[09:21:56.546] [DEBUG] FPS: 61 | Frame time: 16.6232ms
[09:21:57.549] [DEBUG] FPS: 59 | Frame time: 17.8466ms
[09:21:58.563] [DEBUG] FPS: 60 | Frame time: 16.9271ms
[09:21:59.579] [DEBUG] FPS: 60 | Frame time: 16.0606ms
[09:22:00.580] [DEBUG] FPS: 59 | Frame time: 16.1638ms
[09:22:01.596] [DEBUG] FPS: 60 | Frame time: 16.8539ms
[09:22:02.596] [DEBUG] FPS: 59 | Frame time: 16.3734ms
[09:22:03.612] [DEBUG] FPS: 60 | Frame time: 16.7333ms
[09:22:04.612] [DEBUG] FPS: 59 | Frame time: 16.7711ms
[09:22:05.629] [DEBUG] FPS: 60 | Frame time: 16.6432ms
[09:22:06.629] [DEBUG] FPS: 59 | Frame time: 16.641ms
[09:22:07.646] [DEBUG] FPS: 59 | Frame time: 16.7844ms
[09:22:08.646] [DEBUG] FPS: 59 | Frame time: 16.7578ms
[09:22:09.662] [DEBUG] FPS: 60 | Frame time: 16.5338ms
[09:22:10.663] [DEBUG] FPS: 59 | Frame time: 17.0017ms
[09:22:11.679] [DEBUG] FPS: 60 | Frame time: 16.6576ms
[09:22:12.679] [DEBUG] FPS: 59 | Frame time: 17.1831ms
[09:22:13.696] [DEBUG] FPS: 60 | Frame time: 16.7103ms
[09:22:14.696] [DEBUG] FPS: 59 | Frame time: 16.907ms
[09:22:15.696] [DEBUG] FPS: 59 | Frame time: 16.72ms
[09:22:16.712] [DEBUG] FPS: 60 | Frame time: 16.7202ms
[09:22:17.712] [DEBUG] FPS: 59 | Frame time: 16.5531ms
[09:22:18.729] [DEBUG] FPS: 60 | Frame time: 16.7049ms
[09:22:19.746] [DEBUG] FPS: 59 | Frame time: 16.7308ms
[09:22:20.762] [DEBUG] FPS: 60 | Frame time: 16.6769ms
[09:22:21.762] [DEBUG] FPS: 59 | Frame time: 16.6041ms
[09:22:22.762] [DEBUG] FPS: 59 | Frame time: 16.6853ms
[09:22:23.763] [DEBUG] FPS: 59 | Frame time: 16.7419ms
[09:22:24.779] [DEBUG] FPS: 59 | Frame time: 16.6919ms
[09:22:25.796] [DEBUG] FPS: 60 | Frame time: 16.6994ms
[09:22:26.796] [DEBUG] FPS: 59 | Frame time: 16.8755ms
[09:22:27.813] [DEBUG] FPS: 60 | Frame time: 16.8248ms
[09:22:28.813] [DEBUG] FPS: 59 | Frame time: 16.5982ms
[09:22:29.829] [DEBUG] FPS: 60 | Frame time: 16.765ms
[09:22:30.830] [DEBUG] FPS: 59 | Frame time: 16.7556ms
[09:22:31.846] [DEBUG] FPS: 60 | Frame time: 16.646ms
[09:22:32.863] [DEBUG] FPS: 60 | Frame time: 16.7771ms
[09:22:33.879] [DEBUG] FPS: 59 | Frame time: 16.907ms
[09:22:34.896] [DEBUG] FPS: 60 | Frame time: 16.7055ms
[09:22:35.896] [DEBUG] FPS: 59 | Frame time: 16.7642ms
[09:22:36.897] [DEBUG] FPS: 59 | Frame time: 17.1937ms
[09:22:37.913] [DEBUG] FPS: 60 | Frame time: 16.6468ms
[09:22:38.913] [DEBUG] FPS: 59 | Frame time: 16.5521ms
[09:22:39.929] [DEBUG] FPS: 53 | Frame time: 16.7305ms
[09:22:40.930] [DEBUG] FPS: 59 | Frame time: 16.2312ms
[09:22:41.946] [DEBUG] FPS: 60 | Frame time: 16.4812ms
[09:22:42.946] [DEBUG] FPS: 59 | Frame time: 16.649ms
[09:22:43.946] [DEBUG] FPS: 59 | Frame time: 16.3009ms
[09:22:44.963] [DEBUG] FPS: 60 | Frame time: 17.0389ms
[09:22:45.979] [DEBUG] FPS: 60 | Frame time: 16.7023ms
[09:22:46.996] [DEBUG] FPS: 60 | Frame time: 16.6103ms
[09:22:47.996] [DEBUG] FPS: 59 | Frame time: 16.7223ms
[09:22:49.013] [DEBUG] FPS: 60 | Frame time: 16.6223ms
[09:22:50.013] [DEBUG] FPS: 59 | Frame time: 16.75ms
[09:22:51.029] [DEBUG] FPS: 60 | Frame time: 16.7316ms
[09:22:52.029] [DEBUG] FPS: 59 | Frame time: 16.3791ms
[09:22:53.046] [DEBUG] FPS: 59 | Frame time: 16.7663ms
[09:22:54.063] [DEBUG] FPS: 59 | Frame time: 16.8137ms
[09:22:55.079] [DEBUG] FPS: 60 | Frame time: 16.5951ms
[09:22:56.080] [DEBUG] FPS: 59 | Frame time: 16.7884ms
